dates,futPrices,repoRates,ctdPrices,ois3,ois4,fedLow,fedUp
2017-05-15,133.921875,0.0085,99.17578125,0.010335,0.010537,0.0075,0.01
2017-05-16,134.03125,0.0085,99.2578125,0.010325,0.010545,0.0075,0.01
2017-05-17,135.359375,0.00845,100.2304688,0.01016,0.010255,0.0075,0.01
2017-05-18,135.203125,0.00845,100.078125,0.010423,0.010573,0.0075,0.01
2017-05-19,135.09375,0.00855,99.9765625,0.010468,0.010647,0.0075,0.01
2017-05-22,135,0.00855,99.90625,0.010567,0.010742,0.0075,0.01
2017-05-23,134.625,0.00855,99.64453125,0.010675,0.010846,0.0075,0.01
2017-05-24,134.84375,0.00875,99.80078125,0.01063,0.010775,0.0075,0.01
2017-05-25,134.984375,0.0093,99.90625,0.01082,0.010979,0.0075,0.01
2017-05-26,135.09375,0.0093,99.94921875,0.01079,0.010947,0.0075,0.01
2017-05-30,135.484375,0.0093,100.2382813,0.010921,0.011025,0.0075,0.01
2017-05-31,135.734375,0.00955,100.3984375,0.010985,0.011115,0.0075,0.01
2017-06-01,135.515625,0.00935,100.234375,0.01112,0.011238,0.0075,0.01
2017-06-02,136.203125,0.00935,100.7265625,0.011155,0.011295,0.0075,0.01
2017-06-05,135.96875,0.00935,100.5507813,0.011202,0.011364,0.0075,0.01
2017-06-06,136.390625,0.00935,100.8515625,0.011214,0.01137,0.0075,0.01
2017-06-07,136.046875,0.00935,100.59375,0.011276,0.0114,0.0075,0.01
2017-06-08,135.875,0.0106,100.4648438,0.011367,0.011493,0.0075,0.01
2017-06-09,135.875,0.0106,100.4257813,0.011412,0.011548,0.0075,0.01
2017-06-12,135.71875,0.01125,100.3085938,0.011446,0.011588,0.0075,0.01
2017-06-13,135.796875,0.01125,100.3671875,0.01147,0.01159,0.0075,0.01
2017-06-14,136.625,0.01125,100.9921875,0.011525,0.011621,0.01,0.0125
2017-06-15,136.34375,0.01215,100.7617188,0.011558,0.011663,0.01,0.0125
